#Año,Servicio,Programa,Concepto,Descripción,Importe
2014,01,911A,19000,Gastos Personal Parlamento,9823233
2014,01,911A,22609,Otros,4957431
2014,01,911A,64099,Otros,316080
2014,01,911A,83008,Personal anticipos reintegrables,20447
2014,01,911B,19000,Gastos Personal Parlamento,1997580
2014,01,911E,22609,Otros,2000
2014,01,911F,19000,Gastos Personal Parlamento,1981353
2014,01,911O,19000,Gastos Personal Parlamento,3500596
2014,01,911O,22609,Otros,724750
2014,01,911O,64099,Otros,189000
2014,01,911O,83008,Personal anticipos reintegrables,100
2014,01,911F,22609,Otros,412910
2014,01,911F,64099,Otros,30250
2014,01,911F,83008,Personal anticipos reintegrables,120
2014,01,911B,22609,Otros,457900
2014,01,911B,64099,Otros,77069
2014,01,911B,83008,Personal anticipos reintegrables,69
2014,05,951M,30000,Intereses de obligaciones y bonos,53800000
2014,05,951M,30100,"Gastos de emisión, modificación y cancelación",1000000
2014,05,951M,31040,Intereses de préstamos a largo plazo,206800000
2014,05,951M,31101,"Gtos de formalización, modificación y cancelación",1000000
2014,05,951M,34900,Otros gastos financieros,30000
2014,05,951M,90106,Obligaciones y bonos,50000000
2014,05,951M,91240,Préstamos a corto plazo con entidades de crédito,7500000
2014,05,951M,91340,Préstamos a largo plazo con entidades de crédito,303000000
2014,06,911G,20500,Mobiliario y enseres,500
2014,06,911G,21200,Edificios y otras construcciones,750
2014,06,911G,21209,Otros,10000
2014,06,911G,21301,Instalaciones técnicas,500
2014,06,911G,21500,Mobiliario y enseres,500
2014,06,911G,22000,Material de oficina ordinario no inventariable,500
2014,06,911G,22001,"Prensa, revistas, libros y otras publicaciones",1000
2014,06,911G,22003,Vestuario y lencería,500
2014,06,911G,22004,Productos alimenticios,500
2014,06,911G,22009,Otros suministros no tarifados,4500
2014,06,911G,22201,Postales,1000
2014,06,911G,22202,Telegráficas,700
2014,06,911G,22203,Telex y telefax,150
2014,06,911G,22301,Otros transportes,1000
2014,06,911G,22500,Tributos locales,3900
2014,06,911G,22501,Tributos autonómicos,550
2014,06,911G,22601,Atenciones protocolarias y representativas,37000
2014,06,911G,22606,"Reuniones, cursos y conferencias",51000
2014,06,911G,22700,Limpieza y aseo,1450
2014,06,911G,22701,Seguridad,9006
2014,06,911G,22703,Servicios postales y de mensajería,1000
2014,06,911G,22957,Escolta Presidencial,63000
2014,06,911G,23000,Indemnizaciones por razón del servicio,68654
2014,06,911G,23900,Otras indemnizaciones,1500
2014,06,911G,45000,A Ayuntamientos y sus OO. AA.,45000
2014,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11579
