#Año,Concepto,Descripción,Importe
2014,10000,I.R.P.F. Tarifa autonómica,1022256131
2014,11000,Impuesto sobre Sucesiones y Donaciones,66452650
2014,11001,Sucesion.y Donacion.Bienes Inmuebl.Interés Cultur.,1
2014,11100,Impuesto sobre el Patrimonio,38611955
2014,13000,Impto.CAC Depósitos clientes en Entidad.cto.CAC,74000000
2014,13001,Impto. CAC Impacto Medioamb.Grandes Establ.Comerci,100000
2014,13002,Impto. CAC Impacto Medioambient.Determ.Actividades,2171940
2014,20000,Sobre Transmisiones Intervivos,157228744
2014,20001,Sobre Actos Juridicos Documentados,46095813
2014,22010,Sobre Combustible Derivados del Petróleo,295659375
2014,22021,Sobre la electricidad,59300940
2014,22022,sobre alcohol y bebidas derivadas,21805209
2014,22023,sobre productos intermedios,403555
2014,22024,sobre la cerveza,8869180
2014,22030,Impuesto sobre las labores del tabaco,101985117
2014,25000,Rifas y tómbolas,7100
2014,25001,Apuestas y combinaciones aleatorias,213585
2014,25002,Bingos,22014104
2014,25003,Casinos,2805624
2014,25004,Máquinas recreativas,30345173
2014,25100,Partic. CAC en impto. s/activ. juego (DT 6 Ley 13),2815427
2014,28801,Impuesto General Indirecto Canario (IGIC),472407968
2014,28802,Arbitrio s/Importac. y Entregas Mercanc.Canar.AIEM,52465445
2014,28803,Impuesto Espec. s/determinados medios transportes,4069099
2014,28805,IGIC.Liquidac.Particip.recursos REF ejerc.anterior,11006374
2014,32700,Derechos de examen,80000
2014,32701,"Derechos de examen, personal docente",150000
2014,32906,Presidencia del Gobierno,38686
2014,32908,"Consejería de Presidencia, Justicia e Igualdad",797154
2014,32910,"Consejería de Economía, Hacienda y Seguridad",572026
2014,32911,"Consej.Obras Públ,Transportes y Polít. Territorial",59674
2014,32913,"Consejería de Agricultura,Ganadería,Pesca y Aguas",214702
2014,32915,"Consejería de Empleo, Industria y Comercio",1424087
2014,32918,"Consej. Educación, Universidades y Sostenibilidad",2505000
2014,32923,"Consej.Cultura,Deportes,Polít. Sociales y Vivienda",411001
2014,32961,Ingresos conservatorios superiores de música,1300000
2014,32970,Tasas por Dirección e Inspección de Obras,3542129
2014,32985,Ingresos gestión laboratorios C.ObrasPúbl.yTransp.,62264
2014,32986,Tasas Direcc.e Inspecc.obras DG Infraestura Viaria,4052000
2014,32987,Tasas por Direcc.e Inspecc.de obras d D.G.de Aguas,239655
2014,32989,Tasas expedición licencias pesca marítima recreat.,690417
2014,32990,Ingresos Boletín Oficial de Canarias,205092
2014,32998,TasasEnseñ.náut.-deprt.buceo port.y prof.mar.-pes.,72997
2014,34988,Carnet joven,101300
2014,35201,Administración y cobranza,2000000
2014,35202,Coste gestión tributos del REF,40386078
2014,35209,Otros,350000
2014,35902,Ingr. Gestión Organismo Pagador Fondos Agríc.Europ,150000
2014,35909,Otros servicios,525000
2014,35924,Estancias residencias escuelas capacit. agrarias,70000
2014,36000,Venta de libros y publicaciones,362
2014,36400,Venta de productos agropecuarios,14668
2014,38000,De ejercicios cerrados,21951890
2014,38100,De Presupuesto corriente,3000000
2014,39001,Recargo sobre apremio,8900000
2014,39002,Recargos de prórroga,1950000
2014,39003,Intereses de demora,8163469
2014,39100,Multas,13270812
2014,39101,Sanciones tributarias,5500000
2014,39103,Sanciones por infracciones pesqueras,6
2014,39104,Sancion.Ley Prevenc.Riesgos Labor.y legisl.laboral,3000000
2014,39105,Sanciones por infracciones turísticas,5000
2014,39109,Otras sanciones,500000
2014,39902,Indemnizaciones derivadas de siniestros,400000
2014,39908,Ingresos acción social Personal CAC,1000
2014,39909,Otros ingresos diversos,2800000
2014,40020,Fondo Garantía de Servicios Públicos Fundamentales,2132993244
2014,40021,Fondo de Suficiencia Global,42880460
2014,40027,Liquidación Fondo de Competitividad,186150000
2014,40050,Subvenciones de la Admón. del Estado gestionadas,31677656
2014,40099,Otras tranferencias corrientes,2100000
2014,40150,Subvenciones de OOAA del Estado gestionadas,329732
2014,40250,Subvenciones de la Seguridad Social gestionadas,22750000
2014,41110,De Organismos Autónomos de la CAC,53270
2014,46000,De Cabildos Insulares,4637743
2014,49001,Fondo Social Europeo (F.S.E.),15300000
2014,52000,Intereses de depósitos,3000000
2014,54010,Alquiler viviendas y locales comerciales,50000
2014,55000,De concesiones administrativas,2300000
2014,59900,Otros ingresos patrimoniales,7200000
2014,70040,Fondo de Compensación Interterritorial.Ej.corrien.,44689070
2014,70041,Fondo de Compensación Interterritorial.Eje.cerrado,2000000
2014,70050,Subvenciones de la Admón. del Estado gestionadas,75202598
2014,79000,Fondo Europeo de Desarrollo Regional (FEDER),72085649
2014,79050,Fondo Europeo de Pesca (FEP),3000000
2014,82101,A largo plazo,3773390
2014,87000,Remanente de tesorería,27700000
2014,91101,Préstamos a largo plazo con entidades de crédito,27600000
2014,91301,Prestamos a largo plazo con entidades de credito,1119139103
