#Año,Concepto,Descripción,Importe
2016,10000,I.R.P.F. Tarifa autonómica,1115328553
2016,10002,Liquidación I.R.P.F. ejercicios anteriores,118425300
2016,11000,Impuesto sobre Sucesiones y Donaciones,54596054
2016,11100,Impuesto sobre el Patrimonio,29524103
2016,20000,Sobre Transmisiones Intervivos,185892836
2016,20001,Sobre Actos Juridicos Documentados,52239601
2016,22010,Sobre Combustible Derivados del Petróleo,299739761
2016,22021,Sobre la electricidad,44906810
2016,22022,sobre alcohol y bebidas derivadas,16572919
2016,22023,sobre productos intermedios,441730
2016,22024,sobre la cerveza,8853370
2016,22030,Impuesto sobre las labores del tabaco,136216992
2016,25000,Rifas y tómbolas,1457
2016,25001,Apuestas y combinaciones aleatorias,248240
2016,25002,Bingos,27233915
2016,25003,Casinos,3381778
2016,25004,Máquinas recreativas,29086776
2016,25100,Partic. CAC en impto. s/activ. juego (DT 6 Ley 13),1832385
2016,28801,Impuesto General Indirecto Canario (IGIC),546657756
2016,28802,Arbitrio s/Importac. y Entregas Mercanc.Canar.AIEM,61350168
2016,28803,Impuesto Espec. s/determinados medios transportes,4603955
2016,32700,Derechos de examen,100000
2016,32701,"Derechos de examen, personal docente",150000
2016,32906,Presidencia del Gobierno,38686
2016,32908,"Consejería de Presidencia, Justicia e Igualdad",797154
2016,32911,"Consej.Obras Públ,Transportes y Polít. Territorial",60000
2016,32913,"Consejería de Agricultura,Ganadería,Pesca y Aguas",250000
2016,32915,"Consejería de Empleo, Industria y Comercio",1424087
2016,32918,"Consej. Educación, Universidades y Sostenibilidad",2505000
2016,32923,"Consej.Cultura,Deportes,Polít. Sociales y Vivienda",50000
2016,32961,Ingresos conservatorios superiores de música,1300000
2016,32970,Tasas por Dirección e Inspección de Obras,7833783
2016,32985,Ingresos gestión laboratorios C.ObrasPúbl.yTransp.,62264
2016,32989,Tasas expedición licencias pesca marítima recreat.,690416
2016,32990,Ingresos Boletín Oficial de Canarias,205091
2016,32998,TasasEnseñ.náut.-deprt.buceo port.y prof.mar.-pes.,72997
2016,34988,Carnet joven,10000
2016,35201,Administración y cobranza,100000
2016,35202,Coste gestión tributos del REF,52505002
2016,35209,Otros,350000
2016,35909,Otros servicios,525000
2016,35924,Estancias residencias escuelas capacit. agrarias,100000
2016,36000,Venta de libros y publicaciones,361
2016,36400,Venta de productos agropecuarios,14668
2016,38000,De ejercicios cerrados,21951890
2016,38100,De Presupuesto corriente,4950000
2016,39001,Recargo sobre apremio,8900000
2016,39003,Intereses de demora,8163469
2016,39100,Multas,13270812
2016,39101,Sanciones tributarias,5500000
2016,39103,Sanciones por infracciones pesqueras,6
2016,39104,Sancion.Ley Prevenc.Riesgos Labor.y legisl.laboral,3000000
2016,39105,Sanciones por infracciones turísticas,5000
2016,39109,Otras sanciones,500000
2016,39902,Indemnizaciones derivadas de siniestros,400000
2016,39908,Ingresos acción social Personal CAC,1000
2016,39909,Otros ingresos diversos,2800000
2016,40020,Fondo Garantía de Servicios Públicos Fundamentales,2206636834
2016,40021,Fondo de Suficiencia Global,36140480
2016,40028,Liquidación Fondo de Cooperación,157836980
2016,40050,Subvenciones de la Admón. del Estado gestionadas,38631877
2016,40099,Otras tranferencias corrientes,76870133
2016,40150,Subvenciones de OOAA del Estado gestionadas,102943
2016,40250,Subvenciones de la Seguridad Social gestionadas,25400000
2016,41110,De Organismos Autónomos de la CAC,209407
2016,46000,De Cabildos Insulares,3553362
2016,49001,Fondo Social Europeo (F.S.E.),23628799
2016,51001,Intereses anticipos y préstamos conced. corto plz.,542100
2016,52000,Intereses de depósitos,4000000
2016,70040,Fondo de Compensación Interterritorial.Ej.corrien.,46843430
2016,70041,Fondo de Compensación Interterritorial.Eje.cerrado,3957042
2016,70050,Subvenciones de la Admón. del Estado gestionadas,112671958
2016,70150,Subvenciones de OOAA del Estado gestionadas,174791
2016,79000,Fondo Europeo de Desarrollo Regional (FEDER),101193140
2016,79050,Fondo Europeo de Pesca (FEP),3424925
2016,79070,Fondo Europeo Marítimo y de Pesca (FEMP),13956499
2016,82101,A largo plazo,3505069
2016,87000,Remanente de tesorería,44318931
2016,91102,Otros prestamos a largo plazo,5000000
2016,91301,Prestamos a largo plazo con entidades de credito,987778494
