#Año,Servicio,Programa,Concepto,Descripción,Importe
2016,01,911A,19000,Gastos Personal Parlamento,9862859
2016,01,911A,22609,Otros,5764394
2016,01,911A,64099,Otros,300000
2016,01,911A,83008,Personal anticipos reintegrables,20447
2016,01,911E,22609,Otros,2000
2016,01,911P,19000,Gastos Personal Parlamento,320202
2016,01,911P,22609,Otros,97500
2016,01,911P,64099,Otros,60000
2016,01,911O,19000,Gastos Personal Parlamento,3571008
2016,01,911O,22609,Otros,731750
2016,01,911O,64099,Otros,182000
2016,01,911O,83008,Personal anticipos reintegrables,100
2016,01,911F,19000,Gastos Personal Parlamento,2143406
2016,01,911F,22609,Otros,400910
2016,01,911F,64099,Otros,42250
2016,01,911F,83008,Personal anticipos reintegrables,120
2016,01,911B,19000,Gastos Personal Parlamento,2048035
2016,01,911B,22609,Otros,457900
2016,01,911B,64099,Otros,43138
2016,01,911B,83008,Personal anticipos reintegrables,69
2016,05,951M,30000,Intereses de obligaciones y bonos,50000000
2016,05,951M,30100,"Gastos de emisión, modificación y cancelación",1000000
2016,05,951M,31040,Intereses de préstamos a largo plazo,34650000
2016,05,951M,31101,"Gtos de formalización, modificación y cancelación",1000000
2016,05,951M,34900,Otros gastos financieros,30000
2016,05,951M,90106,Obligaciones y bonos,216900000
2016,05,951M,91140,Préstamos a largo plazo con entidades de crédito,226900000
2016,05,951M,91340,Préstamos a largo plazo con entidades de crédito,379154000
2016,06,911G,20500,Mobiliario y enseres,500
2016,06,911G,21200,Edificios y otras construcciones,750
2016,06,911G,21209,Otros,10000
2016,06,911G,21301,Instalaciones técnicas,500
2016,06,911G,21500,Mobiliario y enseres,500
2016,06,911G,22000,Material de oficina ordinario no inventariable,500
2016,06,911G,22001,"Prensa, revistas, libros y otras publicaciones",4450
2016,06,911G,22002,Material informático no inventariable,2500
2016,06,911G,22003,Vestuario y lencería,500
2016,06,911G,22004,Productos alimenticios,500
2016,06,911G,22009,Otros suministros no tarifados,4500
2016,06,911G,22201,Postales,1000
2016,06,911G,22202,Telegráficas,700
2016,06,911G,22203,Telex y telefax,150
2016,06,911G,22301,Otros transportes,1000
2016,06,911G,22500,Tributos locales,5200
2016,06,911G,22501,Tributos autonómicos,550
2016,06,911G,22601,Atenciones protocolarias y representativas,37000
2016,06,911G,22606,"Reuniones, cursos y conferencias",51000
2016,06,911G,22700,Limpieza y aseo,1450
2016,06,911G,22703,Servicios postales y de mensajería,2000
2016,06,911G,22957,Escolta Presidencial,63000
2016,06,911G,23000,Indemnizaciones por razón del servicio,68654
2016,06,911G,23900,Otras indemnizaciones,2500
2016,06,911G,45000,A Ayuntamientos y sus OO. AA.,45000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11694
2016,06,912A,10001,Otras remuneraciones,59807
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,432A,12000,Sueldo,62919
2016,06,432A,12005,Trienios,18775
2016,06,432A,12101,Complementos al puesto de trabajo,49460
2016,06,432A,12102,Indemnizaciones por residencia,7815
2016,06,432A,12103,Complementos específico,75096
2016,06,432A,12109,Otros complementos,450
2016,06,432A,13000,Salario Base,215701
2016,06,432A,13001,Otras remuneraciones,149991
2016,06,432A,13005,Antiguedad,43695
2016,06,432A,15100,Gratificaciones,30734
2016,06,432A,16012,Cuotas sociales funcionarios y pers. estatutario,46281
2016,06,432A,16013,Cuotas sociales laborales,126915
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,46413
2016,06,912A,10005,Trienios/Antigüedad,4510
2016,06,912A,16010,Cuotas sociales altos cargos,11007
2016,06,912B,12000,Sueldo,525611
2016,06,912B,12005,Trienios,141501
2016,06,912B,12101,Complementos al puesto de trabajo,355528
2016,06,912B,12102,Indemnizaciones por residencia,54958
2016,06,912B,12103,Complementos específico,513652
2016,06,912B,12109,Otros complementos,10163
2016,06,912B,13000,Salario Base,329631
2016,06,912B,13001,Otras remuneraciones,176422
2016,06,912B,13005,Antiguedad,68546
2016,06,912B,13006,Horas extras,9688
2016,06,912B,13100,Salario base,61403
2016,06,912B,13101,Otras remuneraciones,33095
2016,06,912B,13102,Sustituciones Personal Laboral,40256
2016,06,912B,13105,Antiguedad,7446
2016,06,912B,16012,Cuotas sociales funcionarios y pers. estatutario,381271
2016,06,912B,16013,Cuotas sociales laborales,225075
2016,06,912B,20500,Mobiliario y enseres,1286
2016,06,912B,21200,Edificios y otras construcciones,57500
2016,06,912B,21301,Instalaciones técnicas,18500
2016,06,912B,21302,Maquinaria,500
2016,06,912B,21400,Elementos de transportes,15700
2016,06,912B,21500,Mobiliario y enseres,23500
2016,06,912B,21600,Equipamiento para proceso de la información,33500
2016,06,912B,22000,Material de oficina ordinario no inventariable,25000
2016,06,912B,22001,"Prensa, revistas, libros y otras publicaciones",19000
2016,06,912B,22002,Material informático no inventariable,9200
2016,06,912B,22003,Vestuario y lencería,17500
2016,06,912B,22005,Productos farmacéuticos,150
2016,06,912B,22009,Otros suministros no tarifados,21500
2016,06,912B,22101,Agua,7000
2016,06,912B,22102,Gas,150
2016,06,912B,22103,Combustible,26000
2016,06,912B,22201,Postales,5684
2016,06,912B,22202,Telegráficas,1000
2016,06,912B,22203,Telex y telefax,250
2016,06,912B,22204,Informáticas,150
2016,06,912B,22301,Otros transportes,2055
2016,06,912B,22500,Tributos locales,10661
2016,06,912B,22501,Tributos autonómicos,150
2016,06,912B,22606,"Reuniones, cursos y conferencias",2500
2016,06,912B,22700,Limpieza y aseo,295800
2016,06,912B,22701,Seguridad,300000
