#Año,Concepto,Descripción,Importe
2013,10000,I.R.P.F. Tarifa autonómica,1062043501
2013,11000,Impuesto sobre Sucesiones y Donaciones,54848000
2013,11001,Sucesion.y Donacion.Bienes Inmuebl.Interés Cultur.,1
2013,11100,Impuesto sobre el Patrimonio,22537499
2013,13000,Impto.CAC Depósitos clientes en Entidad.cto.CAC,30030000
2013,13001,Impto. CAC Impacto Medioamb.Grandes Establ.Comerci,8130537
2013,13002,Impto. CAC Impacto Medioambient.Determ.Actividades,750000
2013,20000,Sobre Transmisiones Intervivos,176378243
2013,20001,Sobre Actos Juridicos Documentados,60565345
2013,22010,Sobre Combustible Derivados del Petróleo,298463365
2013,22021,Sobre la electricidad,52414370
2013,22022,sobre alcohol y bebidas derivadas,19844949
2013,22023,sobre productos intermedios,376535
2013,22024,sobre la cerveza,8883600
2013,22030,Impuesto sobre las labores del tabaco,119492930
2013,25000,Rifas y tómbolas,7000
2013,25001,Apuestas y combinaciones aleatorias,233245
2013,25002,Bingos,26963641
2013,25003,Casinos,3203511
2013,25004,Máquinas recreativas,21108120
2013,25100,Partic. CAC en impto. s/activ. juego (DT 6 Ley 13),1449384
2013,28801,Impuesto General Indirecto Canario (IGIC),461631948
2013,28802,Arbitrio s/Importac. y Entregas Mercanc.Canar.AIEM,50310481
2013,28803,Impuesto Espec. s/determinados medios transportes,5396052
2013,28804,Liquidac.Participac. recursos REF ejerc.anterior,65243799
2013,28900,Otros impuestos indirectos,35000000
2013,32700,Derechos de examen,80000
2013,32701,"Derechos de examen, personal docente",150000
2013,32906,Presidencia del Gobierno,1000
2013,32908,"Consejería de Presidencia, Justicia e Igualdad",1100000
2013,32910,"Consejería de Economía, Hacienda y Seguridad",476000
2013,32911,"Consej.Obras Públ,Transportes y Polít. Territorial",345000
2013,32913,"Consejería de Agricultura,Ganadería,Pesca y Aguas",325000
2013,32914,Consejería de Sanidad,1000
2013,32915,"Consejería de Empleo, Industria y Comercio",3500000
2013,32916,Consejería de Turismo,10000
2013,32918,"Consej. Educación, Universidades y Sostenibilidad",2505000
2013,32923,"Consej.Cultura,Deportes,Polít. Sociales y Vivienda",65000
2013,32961,Ingresos conservatorios superiores de música,1300000
2013,32970,Tasas por Dirección e Inspección de Obras,3660000
2013,32984,Ingresos inherentes a gestión competencia puertos,9500000
2013,32985,Ingresos gestión laboratorios C.ObrasPúbl.yTransp.,100000
2013,32986,Tasas Direcc.e Inspecc.obras DG Infraestura Viaria,4000000
2013,32987,Tasas por Direcc.e Inspecc.de obras d D.G.de Aguas,450000
2013,32989,Tasas expedición licencias pesca marítima recreat.,575000
2013,32990,Ingresos Boletín Oficial de Canarias,800000
2013,32991,Impresos liquidaciones tributarias,6
2013,32998,TasasEnseñ.náut.-deprt.buceo port.y prof.mar.-pes.,100000
2013,34988,Carnet joven,100000
2013,35201,Administración y cobranza,2000000
2013,35202,Coste gestión tributos del REF,38722651
2013,35204,Liquidac. Coste de Gestión REF ejercicio anterior,5663466
2013,35209,Otros,350000
2013,35902,Ingr. Gestión Organismo Pagador Fondos Agríc.Europ,150000
2013,35909,Otros servicios,525000
2013,35924,Estancias residencias escuelas capacit. agrarias,70000
2013,36000,Venta de libros y publicaciones,10000
2013,36200,Venta fotocopias y otros productos de reprografía,10000
2013,36400,Venta de productos agropecuarios,75000
2013,38000,De ejercicios cerrados,20500000
2013,38100,De Presupuesto corriente,3000000
2013,39001,Recargo sobre apremio,8900000
2013,39002,Recargos de prórroga,3900000
2013,39003,Intereses de demora,5200000
2013,39100,Multas,13270812
2013,39101,Sanciones tributarias,18500000
2013,39103,Sanciones por infracciones pesqueras,6
2013,39104,Sancion.Ley Prevenc.Riesgos Labor.y legisl.laboral,4050000
2013,39105,Sanciones por infracciones turísticas,5000
2013,39109,Otras sanciones,1500000
2013,39902,Indemnizaciones derivadas de siniestros,50000
2013,39908,Ingresos acción social Personal CAC,1000
2013,39909,Otros ingresos diversos,2800000
2013,40020,Fondo Garantía de Servicios Públicos Fundamentales,2138713914
2013,40021,Fondo de Suficiencia Global,77660030
2013,40027,Liquidación Fondo de Competitividad,75450000
2013,40050,Subvenciones de la Admón. del Estado gestionadas,33700289
2013,40150,Subvenciones de OOAA del Estado gestionadas,46154
2013,40250,Subvenciones de la Seguridad Social gestionadas,22750000
2013,46000,De Cabildos Insulares,4637743
2013,49001,Fondo Social Europeo (F.S.E.),13866242
2013,52000,Intereses de depósitos,3250000
2013,54010,Alquiler viviendas y locales comerciales,50000
2013,55000,De concesiones administrativas,2483647
2013,59200,Comisiones sobre avales concedidos,25000
2013,59900,Otros ingresos patrimoniales,200000
2013,60100,Venta de terrenos,2000000
2013,70040,Fondo de Compensación Interterritorial.Ej.corrien.,69222640
2013,70041,Fondo de Compensación Interterritorial.Eje.cerrado,12841485
2013,70050,Subvenciones de la Admón. del Estado gestionadas,93923954
2013,70099,Otras Transferencias de Capital,5450000
2013,79000,Fondo Europeo de Desarrollo Regional (FEDER),97881624
2013,79050,Fondo Europeo de Pesca (FEP),3619814
2013,82101,A largo plazo,36300498
2013,83100,A largo plazo,958702
2013,90101,Obligaciones y bonos,730790000
2013,91301,Prestamos a largo plazo con entidades de credito,189200000
