#Año,Concepto,Descripción,Importe
2015,10000,I.R.P.F. Tarifa autonómica,1078748471
2015,11000,Impuesto sobre Sucesiones y Donaciones,71946374
2015,11100,Impuesto sobre el Patrimonio,27907463
2015,20000,Sobre Transmisiones Intervivos,172267281
2015,20001,Sobre Actos Juridicos Documentados,45926771
2015,22010,Sobre Combustible Derivados del Petróleo,279296807
2015,22021,Sobre la electricidad,52620000
2015,22022,sobre alcohol y bebidas derivadas,19374099
2015,22023,sobre productos intermedios,436995
2015,22024,sobre la cerveza,8660000
2015,22030,Impuesto sobre las labores del tabaco,113244712
2015,25000,Rifas y tómbolas,11727
2015,25001,Apuestas y combinaciones aleatorias,183117
2015,25002,Bingos,27679495
2015,25003,Casinos,3336252
2015,25004,Máquinas recreativas,30162373
2015,25100,Partic. CAC en impto. s/activ. juego (DT 6 Ley 13),1791188
2015,28801,Impuesto General Indirecto Canario (IGIC),530961179
2015,28802,Arbitrio s/Importac. y Entregas Mercanc.Canar.AIEM,60777121
2015,28803,Impuesto Espec. s/determinados medios transportes,4332760
2015,32700,Derechos de examen,80000
2015,32701,"Derechos de examen, personal docente",150000
2015,32906,Presidencia del Gobierno,38686
2015,32908,"Consejería de Presidencia, Justicia e Igualdad",797154
2015,32910,"Consejería de Economía, Hacienda y Seguridad",72026
2015,32911,"Consej.Obras Públ,Transportes y Polít. Territorial",59674
2015,32913,"Consejería de Agricultura,Ganadería,Pesca y Aguas",214702
2015,32915,"Consejería de Empleo, Industria y Comercio",1424087
2015,32918,"Consej. Educación, Universidades y Sostenibilidad",2505000
2015,32923,"Consej.Cultura,Deportes,Polít. Sociales y Vivienda",411001
2015,32961,Ingresos conservatorios superiores de música,1300000
2015,32970,Tasas por Dirección e Inspección de Obras,3542129
2015,32985,Ingresos gestión laboratorios C.ObrasPúbl.yTransp.,62264
2015,32986,Tasas Direcc.e Inspecc.obras DG Infraestura Viaria,4052000
2015,32987,Tasas por Direcc.e Inspecc.de obras d D.G.de Aguas,239655
2015,32989,Tasas expedición licencias pesca marítima recreat.,690417
2015,32990,Ingresos Boletín Oficial de Canarias,205092
2015,32998,TasasEnseñ.náut.-deprt.buceo port.y prof.mar.-pes.,72997
2015,34988,Carnet joven,101300
2015,35201,Administración y cobranza,100000
2015,35202,Coste gestión tributos del REF,48777298
2015,35209,Otros,350000
2015,35909,Otros servicios,525000
2015,35924,Estancias residencias escuelas capacit. agrarias,70000
2015,36000,Venta de libros y publicaciones,362
2015,36400,Venta de productos agropecuarios,14668
2015,38000,De ejercicios cerrados,21951890
2015,38100,De Presupuesto corriente,3000000
2015,39001,Recargo sobre apremio,8900000
2015,39002,Recargos de prórroga,1950000
2015,39003,Intereses de demora,8163469
2015,39100,Multas,13270812
2015,39101,Sanciones tributarias,5500000
2015,39103,Sanciones por infracciones pesqueras,6
2015,39104,Sancion.Ley Prevenc.Riesgos Labor.y legisl.laboral,3000000
2015,39105,Sanciones por infracciones turísticas,5000
2015,39109,Otras sanciones,500000
2015,39902,Indemnizaciones derivadas de siniestros,400000
2015,39908,Ingresos acción social Personal CAC,1000
2015,39909,Otros ingresos diversos,2800000
2015,40020,Fondo Garantía de Servicios Públicos Fundamentales,2287536312
2015,40021,Fondo de Suficiencia Global,36749850
2015,40050,Subvenciones de la Admón. del Estado gestionadas,30640720
2015,40099,Otras tranferencias corrientes,75005491
2015,40150,Subvenciones de OOAA del Estado gestionadas,167250
2015,40250,Subvenciones de la Seguridad Social gestionadas,24750000
2015,41110,De Organismos Autónomos de la CAC,156270
2015,46000,De Cabildos Insulares,4637743
2015,49001,Fondo Social Europeo (F.S.E.),25881847
2015,49090,Otras tranferencias del exterior,4000
2015,51001,Intereses anticipos y préstamos conced. corto plz.,542100
2015,52000,Intereses de depósitos,3999000
2015,70040,Fondo de Compensación Interterritorial.Ej.corrien.,46476640
2015,70041,Fondo de Compensación Interterritorial.Eje.cerrado,2000000
2015,70050,Subvenciones de la Admón. del Estado gestionadas,86079324
2015,76000,De Cabildos Insulares,10971502
2015,79000,Fondo Europeo de Desarrollo Regional (FEDER),107445703
2015,79050,Fondo Europeo de Pesca (FEP),8091548
2015,82101,A largo plazo,3726111
2015,87000,Remanente de tesorería,55643352
2015,91301,Prestamos a largo plazo con entidades de credito,942518428
