#Año,Servicio,Programa,Concepto,Descripción,Importe
2015,01,911A,19000,Gastos Personal Parlamento,9823233
2015,01,911A,22609,Otros,5167194
2015,01,911A,48000,A familias e instituciones sin fines de lucro,50000
2015,01,911A,64099,Otros,316080
2015,01,911A,83008,Personal anticipos reintegrables,20447
2015,01,911B,19000,Gastos Personal Parlamento,2027841
2015,01,911E,22609,Otros,43849
2015,01,911F,19000,Gastos Personal Parlamento,1981353
2015,01,911O,19000,Gastos Personal Parlamento,3500596
2015,01,911O,22609,Otros,731750
2015,01,911O,64099,Otros,182000
2015,01,911O,83008,Personal anticipos reintegrables,100
2015,01,911F,22609,Otros,400919
2015,01,911F,64099,Otros,42350
2015,01,911F,83008,Personal anticipos reintegrables,120
2015,01,911B,22609,Otros,457900
2015,01,911B,64099,Otros,43138
2015,01,911B,83008,Personal anticipos reintegrables,69
2015,05,951M,30000,Intereses de obligaciones y bonos,40600000
2015,05,951M,30100,"Gastos de emisión, modificación y cancelación",1000000
2015,05,951M,31040,Intereses de préstamos a largo plazo,101000000
2015,05,951M,31101,"Gtos de formalización, modificación y cancelación",1000000
2015,05,951M,34900,Otros gastos financieros,30000
2015,05,951M,90106,Obligaciones y bonos,60000000
2015,05,951M,91140,Préstamos a largo plazo con entidades de crédito,12500000
2015,05,951M,91141,Préstamos a largo plazo,28600000
2015,05,951M,91340,Préstamos a largo plazo con entidades de crédito,410600000
2015,06,911G,20500,Mobiliario y enseres,500
2015,06,911G,21200,Edificios y otras construcciones,750
2015,06,911G,21209,Otros,10000
2015,06,911G,21301,Instalaciones técnicas,500
2015,06,911G,21500,Mobiliario y enseres,500
2015,06,911G,22000,Material de oficina ordinario no inventariable,500
2015,06,911G,22001,"Prensa, revistas, libros y otras publicaciones",1000
2015,06,911G,22003,Vestuario y lencería,500
2015,06,911G,22004,Productos alimenticios,500
2015,06,911G,22009,Otros suministros no tarifados,4500
2015,06,911G,22201,Postales,1000
2015,06,911G,22202,Telegráficas,700
2015,06,911G,22203,Telex y telefax,150
2015,06,911G,22301,Otros transportes,1000
2015,06,911G,22500,Tributos locales,3900
2015,06,911G,22501,Tributos autonómicos,550
2015,06,911G,22601,Atenciones protocolarias y representativas,37000
2015,06,911G,22606,"Reuniones, cursos y conferencias",51000
2015,06,911G,22700,Limpieza y aseo,1450
2015,06,911G,22701,Seguridad,9250
2015,06,911G,22703,Servicios postales y de mensajería,1000
2015,06,911G,22957,Escolta Presidencial,63000
2015,06,911G,23000,Indemnizaciones por razón del servicio,68654
2015,06,911G,23900,Otras indemnizaciones,1500
2015,06,911G,45000,A Ayuntamientos y sus OO. AA.,45000
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11579
2015,06,912A,10001,Otras remuneraciones,59215
2015,06,912A,10005,Trienios/Antigüedad,6015
2015,06,432A,12000,Sueldo,62297
2015,06,432A,12005,Trienios,18335
2015,06,432A,12101,Complementos al puesto de trabajo,47318
2015,06,432A,12102,Indemnizaciones por residencia,7737
2015,06,432A,12103,Complementos específico,74358
2015,06,432A,12109,Otros complementos,450
2015,06,432A,13000,Salario Base,213565
2015,06,432A,13001,Otras remuneraciones,148925
2015,06,432A,13005,Antiguedad,41233
2015,06,432A,16012,Cuotas sociales funcionarios y pers. estatutario,45892
2015,06,432A,16013,Cuotas sociales laborales,125231
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12532
2015,06,912A,10001,Otras remuneraciones,45954
2015,06,912A,10005,Trienios/Antigüedad,5645
2015,06,912A,16010,Cuotas sociales altos cargos,10878
2015,06,912B,12000,Sueldo,579387
2015,06,912B,12005,Trienios,159279
2015,06,912B,12101,Complementos al puesto de trabajo,392365
2015,06,912B,12102,Indemnizaciones por residencia,61105
2015,06,912B,12103,Complementos específico,568584
2015,06,912B,12109,Otros complementos,11226
2015,06,912B,13000,Salario Base,364846
2015,06,912B,13001,Otras remuneraciones,190489
2015,06,912B,13005,Antiguedad,76386
2015,06,912B,13006,Horas extras,3000
2015,06,912B,13100,Salario base,60795
2015,06,912B,13101,Otras remuneraciones,33987
2015,06,912B,13102,Sustituciones Personal Laboral,39857
2015,06,912B,13105,Antiguedad,6405
2015,06,912B,13106,Horas extras,13251
2015,06,912B,15100,Gratificaciones,49669
2015,06,912B,16012,Cuotas sociales funcionarios y pers. estatutario,436125
2015,06,912B,16013,Cuotas sociales laborales,247929
2015,06,912B,17002,Insuficiencias y Otras Contingencias,41213
2015,06,912B,20500,Mobiliario y enseres,1286
2015,06,912B,21200,Edificios y otras construcciones,52000
2015,06,912B,21301,Instalaciones técnicas,12840
2015,06,912B,21302,Maquinaria,500
2015,06,912B,21400,Elementos de transportes,15700
2015,06,912B,21500,Mobiliario y enseres,30500
2015,06,912B,21600,Equipamiento para proceso de la información,6258
2015,06,912B,22000,Material de oficina ordinario no inventariable,37000
2015,06,912B,22001,"Prensa, revistas, libros y otras publicaciones",18829
2015,06,912B,22002,Material informático no inventariable,8900
2015,06,912B,22003,Vestuario y lencería,1500
2015,06,912B,22005,Productos farmacéuticos,150
2015,06,912B,22009,Otros suministros no tarifados,21500
2015,06,912B,22100,Energía eléctrica,48502
2015,06,912B,22101,Agua,7000
2015,06,912B,22102,Gas,150
2015,06,912B,22103,Combustible,26000
2015,06,912B,22200,Telefónicas,170538
2015,06,912B,22201,Postales,27684
2015,06,912B,22202,Telegráficas,1000
2015,06,912B,22203,Telex y telefax,250
2015,06,912B,22204,Informáticas,150
2015,06,912B,22301,Otros transportes,2055
2015,06,912B,22500,Tributos locales,10661
2015,06,912B,22501,Tributos autonómicos,150
2015,06,912B,22606,"Reuniones, cursos y conferencias",2500
2015,06,912B,22700,Limpieza y aseo,318800
2015,06,912B,22701,Seguridad,300000
2015,06,912B,22703,Servicios postales y de mensajería,3330
2015,06,912B,22711,Actividades preventivas de riesgos laborales,15491
2015,06,912B,22712,Gastos centralizados comunicaciones e informática,245099
2015,06,912B,23000,Indemnizaciones por razón del servicio,57000
2015,06,912B,62500,Mobiliarios y enseres,165500
2015,06,912B,62600,Equipamiento para proceso de la información,15500
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12532
2015,06,912A,10001,Otras remuneraciones,46683
2015,06,912A,10005,Trienios/Antigüedad,4516
2015,06,912D,11000,Retrib. básicas y otras remuner. Pers. Eventual,71549
2015,06,912D,11005,Trienios/Antigüedad,6209
2015,06,912D,11300,Asignación por destino fuera de la CAC,14679
2015,06,912D,12000,Sueldo,16758
2015,06,912D,12005,Trienios,4452
2015,06,912D,12101,Complementos al puesto de trabajo,11207
2015,06,912D,12102,Indemnizaciones por residencia,743
2015,06,912D,12103,Complementos específico,14763
2015,06,912D,12109,Otros complementos,481
2015,06,912D,12300,Asignación por destino fuera de la C.A.C.,6412
2015,06,912D,13000,Salario Base,22316
2015,06,912D,13001,Otras remuneraciones,17542
2015,06,912D,13005,Antiguedad,2002
2015,06,912D,13100,Salario base,22316
2015,06,912D,13101,Otras remuneraciones,17542
2015,06,912D,13105,Antiguedad,2002
2015,06,912D,13300,Asign. por destino fuera de CAC para pers. laboral,23915
2015,06,912D,16011,Cuotas sociales personal eventual,17975
2015,06,912D,16012,Cuotas sociales funcionarios y pers. estatutario,13861
2015,06,912D,16013,Cuotas sociales laborales,26676
2015,06,912D,20400,Elementos de transporte,1000
2015,06,912D,20500,Mobiliario y enseres,750
2015,06,912D,20600,Equipamiento para proceso de la información,150
2015,06,912D,21500,Mobiliario y enseres,200
2015,06,912D,21600,Equipamiento para proceso de la información,150
2015,06,912D,22000,Material de oficina ordinario no inventariable,2500
2015,06,912D,22001,"Prensa, revistas, libros y otras publicaciones",1500
2015,06,912D,22002,Material informático no inventariable,3500
2015,06,912D,22009,Otros suministros no tarifados,1950
2015,06,912D,22201,Postales,900
2015,06,912D,22203,Telex y telefax,450
2015,06,912D,22301,Otros transportes,300
2015,06,912D,22606,"Reuniones, cursos y conferencias",27000
2015,06,912D,22609,Otros,20000
2015,06,912D,22703,Servicios postales y de mensajería,900
2015,06,912D,22706,"Estudios, trabajos técnicos y honor. profesionales",91530
2015,06,912D,22917,Día de Canarias,261000
2015,06,912D,23000,Indemnizaciones por razón del servicio,46000
2015,06,912D,44300,A Sociedades mercantiles públicas de la C.A.C.,1160000
2015,06,912D,48000,A familias e instituciones sin fines de lucro,22388
2015,06,912D,48200,A fundaciones,200000
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12532
2015,06,912A,10001,Otras remuneraciones,45954
2015,06,912A,16010,Cuotas sociales altos cargos,13770
2015,06,921D,13000,Salario Base,89263
2015,06,921D,13001,Otras remuneraciones,70165
2015,06,921D,13005,Antiguedad,14037
2015,06,921D,16013,Cuotas sociales laborales,53351
2015,06,921D,21301,Instalaciones técnicas,7500
2015,06,921D,21500,Mobiliario y enseres,500
2015,06,921D,21600,Equipamiento para proceso de la información,1700
2015,06,921D,22000,Material de oficina ordinario no inventariable,3500
2015,06,921D,22001,"Prensa, revistas, libros y otras publicaciones",9000
2015,06,921D,22002,Material informático no inventariable,2500
2015,06,921D,22202,Telegráficas,150
2015,06,921D,22203,Telex y telefax,750
2015,06,921D,22204,Informáticas,60000
2015,06,921D,22602,Publicidad y propaganda,159000
2015,06,921D,22606,"Reuniones, cursos y conferencias",3420
2015,06,921D,22703,Servicios postales y de mensajería,750
2015,06,921D,22706,"Estudios, trabajos técnicos y honor. profesionales",88400
2015,06,921D,23000,Indemnizaciones por razón del servicio,28000
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11987
2015,06,912A,10001,Otras remuneraciones,55621
2015,06,912A,10005,Trienios/Antigüedad,5081
2015,06,912C,21301,Instalaciones técnicas,150
2015,06,912C,21500,Mobiliario y enseres,600
2015,06,912C,21600,Equipamiento para proceso de la información,900
2015,06,912C,22000,Material de oficina ordinario no inventariable,5000
2015,06,912C,22001,"Prensa, revistas, libros y otras publicaciones",10000
2015,06,912C,22002,Material informático no inventariable,1500
2015,06,912C,22004,Productos alimenticios,1000
2015,06,912C,22009,Otros suministros no tarifados,1350
2015,06,912C,22201,Postales,1500
2015,06,912C,22202,Telegráficas,750
2015,06,912C,22301,Otros transportes,1507
2015,06,912C,22601,Atenciones protocolarias y representativas,2000
2015,06,912C,22606,"Reuniones, cursos y conferencias",22294
2015,06,912C,22703,Servicios postales y de mensajería,3500
2015,06,912C,23000,Indemnizaciones por razón del servicio,50000
2015,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12532
2015,06,912A,10001,Otras remuneraciones,46683
2015,06,912A,16010,Cuotas sociales altos cargos,13770
2015,06,921D,11000,Retrib. básicas y otras remuner. Pers. Eventual,22618
2015,06,921D,11005,Trienios/Antigüedad,401
2015,06,921D,12000,Sueldo,103096
2015,06,921D,12005,Trienios,25573
