#Año,Servicio,Programa,Concepto,Descripción,Importe
2012,01,911A,19000,Gastos Personal Parlamento,9823233
2012,01,911A,22609,Otros,4858958
2012,01,911A,64099,Otros,1038220
2012,01,911A,83008,Personal anticipos reintegrables,20447
2012,01,911E,22609,Otros,2000
2012,01,911O,19000,Gastos Personal Parlamento,3500596
2012,01,911O,22609,Otros,803750
2012,01,911O,64099,Otros,226089
2012,01,911O,83008,Personal anticipos reintegrables,100
2012,01,911F,19000,Gastos Personal Parlamento,1981353
2012,01,911F,22609,Otros,440910
2012,01,911F,64099,Otros,144500
2012,01,911F,83008,Personal anticipos reintegrables,120
2012,01,911B,19000,Gastos Personal Parlamento,2270997
2012,01,911B,22609,Otros,528914
2012,01,911B,64099,Otros,130069
2012,01,911B,83008,Personal anticipos reintegrables,69
2012,05,951M,30000,Intereses de obligaciones y bonos,98790000
2012,05,951M,30100,"Gastos de emisión, modificación y cancelación",1300000
2012,05,951M,31040,Intereses de préstamos a largo plazo,100040000
2012,05,951M,31101,"Gtos de formalización, modificación y cancelación",900000
2012,05,951M,34900,Otros gastos financieros,30000
2012,05,951M,90106,Obligaciones y bonos,326000000
2012,05,951M,91340,Préstamos a largo plazo con entidades de crédito,137300000
2012,06,911G,20500,Mobiliario y enseres,500
2012,06,911G,21209,Otros,10000
2012,06,911G,21301,Instalaciones técnicas,500
2012,06,911G,21500,Mobiliario y enseres,500
2012,06,911G,22000,Material de oficina ordinario no inventariable,1000
2012,06,911G,22001,"Prensa, revistas, libros y otras publicaciones",1000
2012,06,911G,22003,Vestuario,500
2012,06,911G,22004,Productos alimenticios,500
2012,06,911G,22009,Otros suministros no tarifados,5000
2012,06,911G,22201,Postales,1250
2012,06,911G,22202,Telegráficas,700
2012,06,911G,22203,Telex y telefax,150
2012,06,911G,22301,Otros transportes,1000
2012,06,911G,22500,Tributos locales,1950
2012,06,911G,22501,Tributos autonómicos,550
2012,06,911G,22601,Atenciones protocolarias y representativas,37080
2012,06,911G,22606,"Reuniones, cursos y conferencias",54000
2012,06,911G,22700,Limpieza y aseo,500
2012,06,911G,22701,Seguridad,8700
2012,06,911G,22703,Servicios postales y de mensajería,1500
2012,06,911G,22706,"Estudios, trabajos técnicos y honor. profesionales",5559
2012,06,911G,22709,Otros trabajos realizados por empresas o I.S.F.L.,1500
2012,06,911G,22957,Escolta Presidencial,63000
2012,06,911G,23000,Indemnizaciones por razón del servicio,68654
2012,06,911G,23900,Otras indemnizaciones,1500
2012,06,911G,45000,A Ayuntamientos y sus OO. AA.,30000
2012,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11579
2012,06,912A,10001,Otras remuneraciones,59215
2012,06,912A,10005,Trienios/Antigüedad,5148
2012,06,432A,12000,Sueldo,310975
2012,06,432A,12005,Trienios,66060
2012,06,432A,12101,Complementos al puesto de trabajo,537077
2012,06,432A,12102,Indemnizaciones por residencia,34903
