#Año,Concepto,Descripción,Importe
2017,10000,I.R.P.F. Tarifa autonómica,1188618743
2017,10002,Liquidación I.R.P.F. ejercicios anteriores,56887240
2017,11000,Impuesto sobre Sucesiones y Donaciones,21773440
2017,11100,Impuesto sobre el Patrimonio,29524103
2017,20000,Sobre Transmisiones Intervivos,193960320
2017,20001,Sobre Actos Juridicos Documentados,63928017
2017,22010,Sobre Combustible Derivados del Petróleo,314748308
2017,22021,Sobre la electricidad,49861670
2017,22022,sobre alcohol y bebidas derivadas,16915339
2017,22023,sobre productos intermedios,416550
2017,22024,sobre la cerveza,7957000
2017,22030,Impuesto sobre las labores del tabaco,148035114
2017,25000,Rifas y tómbolas,1470
2017,25001,Apuestas y combinaciones aleatorias,211973
2017,25002,Bingos,19706104
2017,25003,Casinos,3008212
2017,25004,Máquinas recreativas,24679893
2017,25100,Partic. CAC en impto. s/activ. juego (DT 6 Ley 13),1874530
2017,28801,Impuesto General Indirecto Canario (IGIC),626054760
2017,28802,Arbitrio s/Importac. y Entregas Mercanc.Canar.AIEM,64734515
2017,28803,Impuesto Espec. s/determinados medios transportes,5405357
2017,32700,Derechos de examen,100000
2017,32701,"Derechos de examen, personal docente",150000
2017,32906,Presidencia del Gobierno,38686
2017,32908,"Consejería de Presidencia, Justicia e Igualdad",797154
2017,32911,"Consej.Obras Públ,Transportes y Polít. Territorial",60000
2017,32913,"Consejería de Agricultura,Ganadería,Pesca y Aguas",250000
2017,32915,"Consejería de Empleo, Industria y Comercio",1424087
2017,32918,"Consej. Educación, Universidades y Sostenibilidad",2505000
2017,32923,"Consej.Cultura,Deportes,Polít. Sociales y Vivienda",50000
2017,32961,Ingresos conservatorios superiores de música,1300000
2017,32970,Tasas por Dirección e Inspección de Obras,7889273
2017,32985,Ingresos gestión laboratorios C.ObrasPúbl.yTransp.,62264
2017,32989,Tasas expedición licencias pesca marítima recreat.,690417
2017,32990,Ingresos Boletín Oficial de Canarias,205091
2017,32998,TasasEnseñ.náut.-deprt.buceo port.y prof.mar.-pes.,72997
2017,34988,Carnet joven,10000
2017,35201,Administración y cobranza,100000
2017,35202,Coste gestión tributos del REF,39778242
2017,35209,Otros,350000
2017,35909,Otros servicios,494000
2017,35924,Estancias residencias escuelas capacit. agrarias,100000
2017,36000,Venta de libros y publicaciones,361
2017,36400,Venta de productos agropecuarios,14668
2017,38000,De ejercicios cerrados,21966890
2017,38100,De Presupuesto corriente,4950000
2017,39001,Recargo sobre apremio,7648237
2017,39003,Intereses de demora,6796285
2017,39100,Multas,12550452
2017,39101,Sanciones tributarias,3064085
2017,39103,Sanciones por infracciones pesqueras,6
2017,39104,Sancion.Ley Prevenc.Riesgos Labor.y legisl.laboral,3000000
2017,39105,Sanciones por infracciones turísticas,5000
2017,39109,Otras sanciones,500000
2017,39902,Indemnizaciones derivadas de siniestros,400000
2017,39908,Ingresos acción social Personal CAC,1000
2017,39909,Otros ingresos diversos,2800000
2017,40020,Fondo Garantía de Servicios Públicos Fundamentales,2426634764
2017,40021,Fondo de Suficiencia Global,31671310
2017,40026,Liquidación Fondo de Suficiencia Global,4900160
2017,40027,Liquidación Fondo de Competitividad,27655139
2017,40028,Liquidación Fondo de Cooperación,157713871
2017,40050,Subvenciones de la Admón. del Estado gestionadas,43642251
2017,40099,Otras tranferencias corrientes,72730252
2017,40150,Subvenciones de OOAA del Estado gestionadas,102943
2017,40250,Subvenciones de la Seguridad Social gestionadas,25400000
2017,41110,De Organismos Autónomos de la CAC,53942
2017,41120,De Ente Públicos con ppto. limitativo,255370
2017,46000,De Cabildos Insulares,3532741
2017,49001,Fondo Social Europeo (F.S.E.),30414337
2017,49090,Otras tranferencias del exterior,4000
2017,52000,Intereses de depósitos,3000000
2017,70040,Fondo de Compensación Interterritorial.Ej.corrien.,46843430
2017,70041,Fondo de Compensación Interterritorial.Eje.cerrado,3957042
2017,70050,Subvenciones de la Admón. del Estado gestionadas,112671964
2017,70099,Otras Transferencias de Capital,33750150
2017,70150,Subvenciones de OOAA del Estado gestionadas,180459
2017,79000,Fondo Europeo de Desarrollo Regional (FEDER),86562400
2017,79070,Fondo Europeo Marítimo y de Pesca (FEMP),11069640
2017,82101,A largo plazo,7459226
2017,87000,Remanente de tesorería,13587136
2017,91102,Otros prestamos a largo plazo,5000000
2017,91301,Prestamos a largo plazo con entidades de credito,848392135
