#Año,Servicio,Programa,Concepto,Descripción,Importe
2017,01,911A,19000,Gastos Personal Parlamento,9862859
2017,01,911A,22609,Otros,2807294
2017,01,911A,48000,A familias e instituciones sin fines de lucro,2957100
2017,01,911A,64099,Otros,300000
2017,01,911A,83008,Personal anticipos reintegrables,20447
2017,01,911E,22609,Otros,2000
2017,01,911P,19000,Gastos Personal Parlamento,320202
2017,01,911P,22609,Otros,97500
2017,01,911P,64099,Otros,60000
2017,01,911O,19000,Gastos Personal Parlamento,3581430
2017,01,911O,22609,Otros,721328
2017,01,911O,64099,Otros,182000
2017,01,911O,83008,Personal anticipos reintegrables,100
2017,01,911F,19000,Gastos Personal Parlamento,2143406
2017,01,911F,22609,Otros,400910
2017,01,911F,64099,Otros,42250
2017,01,911F,83008,Personal anticipos reintegrables,120
2017,01,911B,19000,Gastos Personal Parlamento,2048035
2017,01,911B,22609,Otros,457900
2017,01,911B,64099,Otros,43138
2017,01,911B,83008,Personal anticipos reintegrables,69
2017,05,951M,30000,Intereses de obligaciones y bonos,46110636
2017,05,951M,30100,"Gastos de emisión, modificación y cancelación",500000
2017,05,951M,31040,Intereses de préstamos a largo plazo,44266000
2017,05,951M,31101,"Gtos de formalización, modificación y cancelación",1000000
2017,05,951M,34900,Otros gastos financieros,30000
2017,05,951M,90106,Obligaciones y bonos,51500000
2017,05,951M,91140,Préstamos a largo plazo con entidades de crédito,331200000
2017,05,951M,91340,Préstamos a largo plazo con entidades de crédito,255500000
2017,06,911G,20500,Mobiliario y enseres,500
2017,06,911G,21200,Edificios y otras construcciones,750
2017,06,911G,21209,Otros,10000
2017,06,911G,21301,Instalaciones técnicas,500
2017,06,911G,21500,Mobiliario y enseres,500
2017,06,911G,22000,Material de oficina ordinario no inventariable,500
2017,06,911G,22001,"Prensa, revistas, libros y otras publicaciones",4450
2017,06,911G,22002,Material informático no inventariable,2500
2017,06,911G,22003,Vestuario y lencería,500
2017,06,911G,22004,Productos alimenticios,500
2017,06,911G,22009,Otros suministros no tarifados,4500
2017,06,911G,22201,Postales,1000
2017,06,911G,22202,Telegráficas,700
2017,06,911G,22203,Telex y telefax,150
2017,06,911G,22301,Otros transportes,1000
2017,06,911G,22500,Tributos locales,5200
2017,06,911G,22501,Tributos autonómicos,550
2017,06,911G,22601,Atenciones protocolarias y representativas,37000
2017,06,911G,22606,"Reuniones, cursos y conferencias",51000
2017,06,911G,22700,Limpieza y aseo,1450
2017,06,911G,22703,Servicios postales y de mensajería,2000
2017,06,911G,22957,Escolta Presidencial,63000
2017,06,911G,23000,Indemnizaciones por razón del servicio,68654
2017,06,911G,23900,Otras indemnizaciones,2500
2017,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,11694
2017,06,912A,10001,Otras remuneraciones,59807
2017,06,912A,16010,Cuotas sociales altos cargos,13942
2017,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2017,06,912A,10001,Otras remuneraciones,76263
2017,06,912A,10005,Trienios/Antigüedad,5385
2017,06,912A,16010,Cuotas sociales altos cargos,12430
2017,06,912B,12000,Sueldo,493941
2017,06,912B,12005,Trienios,127657
2017,06,912B,12101,Complementos al puesto de trabajo,340124
2017,06,912B,12102,Indemnizaciones por residencia,52233
2017,06,912B,12103,Complementos específico,504099
2017,06,912B,12109,Otros complementos,9146
2017,06,912B,13000,Salario Base,333554
2017,06,912B,13001,Otras remuneraciones,215900
2017,06,912B,13005,Antiguedad,70704
2017,06,912B,13006,Horas extras,4681
2017,06,912B,13100,Salario base,74673
2017,06,912B,13101,Otras remuneraciones,38254
2017,06,912B,13102,Sustituciones Personal Laboral,40256
2017,06,912B,13105,Antiguedad,8924
2017,06,912B,13106,Horas extras,10000
2017,06,912B,15100,Gratificaciones,31898
2017,06,912B,16012,Cuotas sociales funcionarios y pers. estatutario,366022
2017,06,912B,16013,Cuotas sociales laborales,246695
2017,06,912B,20500,Mobiliario y enseres,1286
2017,06,912B,21200,Edificios y otras construcciones,77000
2017,06,912B,21301,Instalaciones técnicas,18900
2017,06,912B,21302,Maquinaria,500
2017,06,912B,21400,Elementos de transportes,15700
2017,06,912B,21500,Mobiliario y enseres,23500
2017,06,912B,21600,Equipamiento para proceso de la información,33500
2017,06,912B,22000,Material de oficina ordinario no inventariable,25000
2017,06,912B,22001,"Prensa, revistas, libros y otras publicaciones",19000
2017,06,912B,22002,Material informático no inventariable,9200
2017,06,912B,22003,Vestuario y lencería,1500
2017,06,912B,22005,Productos farmacéuticos,150
2017,06,912B,22009,Otros suministros no tarifados,21500
2017,06,912B,22101,Agua,7000
2017,06,912B,22102,Gas,150
2017,06,912B,22103,Combustible,26000
2017,06,912B,22201,Postales,5684
2017,06,912B,22202,Telegráficas,1000
2017,06,912B,22203,Telex y telefax,250
2017,06,912B,22204,Informáticas,150
2017,06,912B,22301,Otros transportes,2055
2017,06,912B,22500,Tributos locales,39500
2017,06,912B,22501,Tributos autonómicos,150
2017,06,912B,22606,"Reuniones, cursos y conferencias",2500
2017,06,912B,22700,Limpieza y aseo,295800
2017,06,912B,22701,Seguridad,360000
2017,06,912B,22703,Servicios postales y de mensajería,3330
2017,06,912B,22706,"Estudios, trabajos técnicos y honor. profesionales",57780
2017,06,912B,23000,Indemnizaciones por razón del servicio,56000
2017,06,912B,62500,Mobiliarios y enseres,177500
